Due within one year . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"4,849,417 2,506,901"
"Bonds and notes payable (net of amount due within one year—$2,733,685 for PG) . ","77,901,803 40,427,065"
Net pension liability . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"59,941,126 2,793,418"
OPEB liability . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"92,521,346 7,434,328"
"Other (net of amount due within one year—$2,115,732 for PG)  . . . . . . . . . . . . . . . . ","14,178,718 1,327,921"
"",_______________________ ___________________
Total liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"269,895,810 60,796,364"
"",_______________________ ___________________
DEFERRED INFLOWS OF RESOURCES,""
Deferred inflows from pensions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"5,055,403 223,131"
Deferred real estate taxes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"5,739,809 —"
Other deferred inflows of resources . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"703,340 —"
"",_______________________ ___________________
Total deferred inflows of resources . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"11,498,552 223,131"
"",_______________________ ___________________
NET POSITION:,""
Net investment in capital assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"(9,343,601) 7,303,448"
Restricted for:,""
Capital projects . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"2,506,625 37,688"
Debt service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"4,759,292 1,889,253"
Loans/security deposits . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 59,016"
Donor/statutory restrictions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 96,355"
Operations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"— 277,611"
Unrestricted (deficit) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"(192,666,950) (9,577,345)"
"",_______________________ ___________________
Total net position (deficit) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"$(194,744,634) $ 86,026"
"",_______________________ ___________________
"",_______________________ ___________________
See accompanying notes to financial statements.,""
